-----------------------------------------------------------------------------------------------------
18日14时26分54秒Info:System');"用户 'sa' 登录失败。SELECT  232*232+(23+323) as Num  
-----------------------------------------------------------------------------------------------------
18日14时28分53秒Info:System');"SQL=SELECT * FROM Port_Dept WHERE 1=2,异常信息:对象名 'Port_Dept' 无效。
-----------------------------------------------------------------------------------------------------
18日14时30分06秒Info:System');"SQL=SELECT * FROM Port_Dept WHERE 1=2,异常信息:对象名 'Port_Dept' 无效。
18日14时30分26秒Info:System');"SQL=DROP INDEX Demo_BPUserID ON Demo_BPUser,异常信息:无法对 索引 'Demo_BPUser.Demo_BPUserID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分26秒Fatal:System');"SQL= SELECT TOP 99999 MyPK, Lab, EnumKey,ISNULL(IntKey,0) IntKey,ISNULL(Lang, 'CH') Lang FROM Sys_Enum WHERE (1=1) AND ( ( Sys_Enum.EnumKey =@EnumKey) AND ( Sys_Enum.Lang =@Lang) ) ORDER BY Sys_Enum.IntKey Exception=对象名 'Sys_Enum' 无效。
18日14时30分26秒Info:System');"SQL=DROP INDEX Sys_EnumID ON Sys_Enum,异常信息:无法对 索引 'Sys_Enum.Sys_EnumID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分26秒Fatal:System');"SQL= SELECT  TOP 1  Demo_BPUser.No, Demo_BPUser.Pass, Demo_BPUser.Name,ISNULL(Demo_BPUser.Age,0)   Age, Demo_BPUser.Addr, Demo_BPUser.Tel, Demo_BPUser.Email,Demo_BPUser.RegDate RegDate,ISNULL(Demo_BPUser.XB,0)   XB, CASE Demo_BPUser.XB WHEN 0 THEN '女' WHEN 1 THEN '男' WHEN NULL THEN '女' END XBTEXT, Demo_BPUser.FK_NY, Pub_NY_FK_NY.Name AS FK_NYText FROM Demo_BPUser LEFT JOIN Pub_NY AS Pub_NY_FK_NY ON Demo_BPUser.FK_NY=Pub_NY_FK_NY.No WHERE (1=1)  AND Demo_BPUser.No=@No Exception=对象名 'Pub_NY' 无效。
18日14时30分26秒Info:System');"SQL=DROP INDEX Demo_EmpCentID ON Demo_EmpCent,异常信息:无法对 索引 'Demo_EmpCent.Demo_EmpCentID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分26秒Info:System');"SQL=DROP INDEX Demo_BanJiID ON Demo_BanJi,异常信息:无法对 索引 'Demo_BanJi.Demo_BanJiID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分27秒Info:System');"SQL=CREATE INDEX Demo_StudentKeMuID ON Demo_StudentKeMu (FK_Student,FK_KeMu),异常信息:操作失败，因为在 表 'Demo_StudentKeMu' 上已存在名称为 'Demo_StudentKeMuID' 的索引或统计信息。
18日14时30分27秒Fatal:System');"SQL= SELECT  TOP 1  Demo_StudentKeMu.FK_Student, Demo_StudentKeMu.FK_KeMu, Demo_KeMu_FK_KeMu.Name AS FK_KeMuText FROM Demo_StudentKeMu LEFT JOIN Demo_KeMu AS Demo_KeMu_FK_KeMu ON Demo_StudentKeMu.FK_KeMu=Demo_KeMu_FK_KeMu.No WHERE (1=1)  AND  (1=1)  AND FK_Student=@FK_Student AND FK_KeMu=@FK_KeMu Exception=对象名 'Demo_KeMu' 无效。
18日14时30分27秒Info:System');"SQL=CREATE INDEX Demo_StudentKeMuID ON Demo_StudentKeMu (FK_Student,FK_KeMu),异常信息:操作失败，因为在 表 'Demo_StudentKeMu' 上已存在名称为 'Demo_StudentKeMuID' 的索引或统计信息。
18日14时30分27秒Fatal:System');"SQL= SELECT  TOP 1  Demo_StudentKeMu.FK_Student, Demo_StudentKeMu.FK_KeMu, Demo_KeMu_FK_KeMu.Name AS FK_KeMuText FROM Demo_StudentKeMu LEFT JOIN Demo_KeMu AS Demo_KeMu_FK_KeMu ON Demo_StudentKeMu.FK_KeMu=Demo_KeMu_FK_KeMu.No WHERE (1=1)  AND  (1=1)  AND FK_Student=@FK_Student AND FK_KeMu=@FK_KeMu Exception=对象名 'Demo_KeMu' 无效。
18日14时30分27秒Info:System');"SQL=CREATE INDEX Demo_StudentKeMuID ON Demo_StudentKeMu (FK_Student,FK_KeMu),异常信息:操作失败，因为在 表 'Demo_StudentKeMu' 上已存在名称为 'Demo_StudentKeMuID' 的索引或统计信息。
18日14时30分27秒Info:System');"SQL=DROP INDEX Demo_StudentID ON Demo_Student,异常信息:无法对 索引 'Demo_Student.Demo_StudentID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分27秒Info:System');"SQL=DROP INDEX Demo_KeMuID ON Demo_KeMu,异常信息:无法对 索引 'Demo_KeMu.Demo_KeMuID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分27秒Info:System');"SQL=DROP INDEX CN_AreaID ON CN_Area,异常信息:无法对 索引 'CN_Area.CN_AreaID' 执行 删除，因为它不存在，或者您没有所需的权限。
18日14时30分27秒Fatal:System');"SQL= SELECT  TOP 1  CN_Area.No, CN_Area.Name, CN_Area.Names,ISNULL(CN_Area.Grade,0)   Grade, CN_Area.FK_SF, CN_SF_FK_SF.Name AS FK_SFText, CN_Area.FK_PQ, CN_PQ_FK_PQ.Name AS FK_PQText FROM CN_Area LEFT JOIN CN_SF AS CN_SF_FK_SF ON CN_Area.FK_SF=CN_SF_FK_SF.No LEFT JOIN CN_PQ AS CN_PQ_FK_PQ ON CN_Area.FK_PQ=CN_PQ_FK_PQ.No WHERE (1=1)  AND CN_Area.No=@No Exception=对象名 'CN_SF' 无效。
18日14时30分27秒Fatal:System');"SQL= SELECT  TOP 1  CN_Area.No, CN_Area.Name, CN_Area.Names,ISNULL(CN_Area.Grade,0)   Grade, CN_Area.FK_SF, CN_SF_FK_SF.Name AS FK_SFText, CN_Area.FK_PQ, CN_PQ_FK_PQ.Name AS FK_PQText FROM CN_Area LEFT JOIN CN_SF AS CN_SF_FK_SF ON CN_Area.FK_SF=CN_SF_FK_SF.No LEFT JOIN CN_PQ AS CN_PQ_FK_PQ ON CN_Area.FK_PQ=CN_PQ_FK_PQ.No WHERE (1=1)  AND CN_Area.No=@No Exception=对象名 'CN_SF' 无效。
18日14时30分27秒Info:System');"SQL=DROP INDEX CN_CityID ON CN_City,异常信息:无法对 索引 'CN_City.CN_CityID' 执行 删除，因为它不存在，或者您没有所需的权限。
